,creelID,lakeID,site_group,accessPoint,sampleDate,partyActivity,numberInParty,travelTimeHours,dateTimeReturnInterview,dateTimeLeftLanding,timeNotFishing,electronicUse,fishingDaysYear,fishingDaysLakeYear,homeZip,satisfactionOverall,satisfactionNumber,satisfactionSize,c1LifeRevolves,c2TrophySpots,c3MostEnjoyable,c4SignificantIncome,c5Enjoyable,c6NoTimeHobbies,c7MaximizeNumbers,c8NoAlternative,c9FriendsFish,c10ReleaseFish,c11LoseFriends,c12BigSmall,c13OtherLeisure,c14KeepFishing,c15SpecialGear,income,race,raceOther,hispanic,
11,OB_BoatLaunch_20180517_creel_6,OB,rural,BoatLaunch,20180517,boat_fishing,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,OB_BoatLaunch_20180517_creel_7,OB,rural,BoatLaunch,20180517,boat_fishing,2,0,20180517 19:02,NA,NA,NA,20,NA,54401,5,5,3,3,3,4,2,4,2,3,1,4,NA,1,2,2,5,4,NA,NA,NA,NA,
13,OB_BoatLaunch_20180517_creel_8,OB,rural,BoatLaunch,20180517,boat_fishing,1,0.666666667,20180517 19:57,20180517 13:00,0.5,NA,40,NA,60201,1,1,5,2,5,3,1,5,3,5,2,1,NA,1,5,2,5,5,NA,NA,NA,NA,
14,LC_BoatLaunch_20180519_creel_1,LC,rural,BoatLaunch,20180519,boat_fishing,4,0.166666667,NA,20180519 08:55,0,NA,20,NA,54115,10,7,9,1,3,4,1,5,1,5,1,4,NA,1,2,1,3,2,NA,NA,NA,NA,
15,LC_BoatLaunch_20180519_creel_2,LC,rural,BoatLaunch,20180519,boat_fishing,2,0.166666667,20180519 12:25,20180519 09:38,0.333333333,NA,90,NA,54441,2,2,1,2,3,3,4,5,1,4,1,1,NA,1,3,1,4,5,NA,NA,NA,NA,
16,MS_BoatLaunch_20180520_creel_1,MS,rural,BoatLaunch,20180520,boat_fishing,3,0.333333333,20180520 13:55,20180520 09:00,0.75,NA,40,NA,54568,5,8,1,3,2,3,2,4,2,4,2,2,NA,2,4,2,2,4,NA,NA,NA,NA,
17,MS_BoatLaunch_20180520_creel_3,MS,rural,BoatLaunch,20180520,boat_fishing,4,0.5,20180520 16:50,20180520 14:34,0,NA,10,NA,54521,10,10,5,5,3,4,2,5,1,3,1,5,NA,1,2,3,5,5,NA,NA,NA,NA,
18,MS_BoatLaunch_20180520_creel_4,MS,rural,BoatLaunch,20180520,boat_fishing,2,0.416666667,20180520 14:38,20180520 12:30,0,NA,50,NA,53158,9,9,9,3,3,2,2,4,2,1,1,4,NA,1,3,1,3,3,NA,NA,NA,NA,
19,FD_BoatLaunch_20180521_creel_1,FD,rural,BoatLaunch,20180521,boat_fishing,3,0.333333333,20180521 13:42,20180521 09:15,0,NA,20,NA,54935,10,10,7,3,5,5,3,5,3,5,2,2,NA,2,5,3,5,5,NA,NA,NA,NA,
20,FD_BoatLaunch_20180521_creel_2,FD,rural,BoatLaunch,20180521,boat_fishing,2,0.333333333,20180521 13:49,20180521 09:15,0,NA,75,NA,54935,7,5,5,3,3,5,2,5,3,5,2,3,NA,2,4,3,5,5,NA,NA,NA,NA,
21,FD_BoatLaunch_20180521_creel_3,FD,rural,BoatLaunch,20180521,shore_fishing,1,0.25,20180521 14:15,20180521 12:30,0,NA,150,NA,54521,5,5,5,4,2,4,3,5,2,3,2,2,NA,2,3,2,4,4,NA,NA,NA,NA,
22,FD_BoatLaunch_20180521_creel_4,FD,rural,BoatLaunch,20180521,boat_fishing,2,0.083333333,20180521 15:28,20180521 13:00,0,NA,25,NA,54558,8,8,4,3,4,4,3,5,2,3,2,4,NA,3,4,3,4,4,NA,NA,NA,NA,
23,FD_BoatLaunch_20180521_creel_5,FD,rural,BoatLaunch,20180521,boat_fishing,2,NA,20180521 19:40,20180521 18:34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24,AQ_BoatLaunch_20180522_creel_1,AQ,rural,BoatLaunch,20180522,boat_fishing,2,0.583333333,20180522 13:54,20180522 12:00,0,NA,40,NA,54481,1,1,1,4,1,4,4,5,2,4,2,4,NA,2,2,2,4,4,NA,NA,NA,NA,
25,AQ_BoatLaunch_20180522_creel_2,AQ,rural,BoatLaunch,20180522,boat_fishing,1,NA,NA,20180522 17:08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
26,AQ_BoatLaunch_20180522_creel_3,AQ,rural,BoatLaunch,20180522,boat_fishing,1,0.166666667,20180522 21:09,20180522 17:20,NA,NA,5,NA,53597,4,3,8,2,3,4,1,5,2,2,2,2,NA,1,2,4,4,2,NA,NA,NA,NA,
27,MS_BoatLaunch_20180523_creel_2,MS,rural,BoatLaunch,20180523,boat_fishing,2,0.25,20180523 16:25,20180523 09:30,0,NA,14,NA,NA,8,8,8,2,4,3,4,4,2,3,2,3,NA,2,2,3,3,4,NA,NA,NA,NA,
28,MS_BoatLaunch_20180523_creel_3,MS,rural,BoatLaunch,20180523,boat_fishing,1,0.25,20180523 16:35,20180523 09:30,0.166666667,NA,1,NA,54227,7,10,6,3,3,1,1,3,1,3,1,3,NA,3,3,2,3,4,NA,NA,NA,NA,
29,MS_BoatLaunch_20180523_creel_5,MS,rural,BoatLaunch,20180523,shore_fishing,2,0.066666667,20180523 18:45,20180523 18:15,0,NA,150,NA,53954,6,6,3,3,5,4,3,5,2,4,2,5,NA,4,5,3,4,4,NA,NA,NA,NA,
30,WS_BoatLaunch_20180525_creel_1,WS,rural,BoatLaunch,20180525,boat_fishing,2,NA,NA,20180525 12:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
31,JS_BoatLaunch_20180526_creel_1,JS,rural,BoatLaunch,20180526,boat_fishing,3,0.25,20180526 08:40,20180526 06:30,NA,NA,100,NA,53551,1,1,1,4,5,5,2,5,1,5,1,5,NA,1,5,1,5,5,NA,NA,NA,NA,
32,JS_BoatLaunch_20180526_creel_2,JS,rural,BoatLaunch,20180526,boat_fishing,2,NA,NA,20180526 08:05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
33,JS_BoatLaunch_20180526_creel_4,JS,rural,BoatLaunch,20180526,boat_fishing,2,NA,NA,20180526 11:28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
34,JS_BoatLaunch_20180526_creel_6,JS,rural,BoatLaunch,20180526,boat_fishing,2,NA,NA,20180526 13:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
35,LH_BoatLaunch_20180527_creel_1,LH,rural,BoatLaunch,20180527,shore_fishing,5,NA,20180527 09:30,20180527 08:54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
36,LH_BoatLaunch_20180527_creel_2,LH,rural,BoatLaunch,20180527,boat_fishing,2,0.033333333,20180527 11:37,20180527 09:40,NA,NA,24,NA,53185,7,3,1,3,5,4,4,5,1,5,3,5,NA,4,4,3,5,5,NA,NA,NA,NA,
37,LH_BoatLaunch_20180527_creel_5,LH,rural,BoatLaunch,20180527,shore_fishing,2,0.083333333,20180527 13:05,20180527 12:03,0,NA,5,NA,54476,10,10,8,3,5,4,5,5,2,5,3,4,NA,1,3,3,4,2,NA,NA,NA,NA,
38,CA_BoatLaunch_20180528_creel_1,CA,rural,BoatLaunch,20180528,boat_fishing,2,0.25,20180528 18:14,20180528 15:30,0,NA,250,NA,54481,10,10,10,5,5,5,4,5,3,5,5,5,NA,3,3,4,5,5,NA,NA,NA,NA,
39,LC_BoatLaunch_20180529_creel_2,LC,rural,BoatLaunch,20180529,boat_fishing,2,0.333333333,20180529 20:45,20180529 15:25,0,NA,200,NA,54545,3,1,1,4,5,3,5,5,3,3,3,3,NA,3,5,4,5,5,NA,NA,NA,NA,
40,LC_BoatLaunch_20180529_creel_3,LC,rural,BoatLaunch,20180529,boat_fishing,3,0.033333333,20180529 16:02,20180529 13:30,0,NA,50,NA,54512,1,1,8,4,5,3,5,4,1,1,3,1,NA,1,5,2,5,5,NA,NA,NA,NA,
41,WC_BoatLaunch_20180602_creel_1,WC,rural,BoatLaunch,20180602,boat_fishing,2,0.05,20180602 08:05,20180602 05:50,0,NA,12,NA,54106,10,10,10,2,4,3,1,4,1,3,1,4,NA,1,4,2,4,4,NA,NA,NA,NA,
42,WC_BoatLaunch_20180602_creel_2,WC,rural,BoatLaunch,20180602,boat_fishing,1,0.25,20180602 08:36,20180602 06:31,0,NA,50,NA,53911,6,6,3,4,3,3,2,4,2,5,2,3,NA,1,5,3,5,4,NA,NA,NA,NA,
43,WC_BoatLaunch_20180602_creel_3,WC,rural,BoatLaunch,20180602,boat_fishing,2,0.166666667,20180602 11:16,20180602 07:37,0,NA,NA,NA,89005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
44,WC_BoatLaunch_20180602_creel_4,WC,rural,BoatLaunch,20180602,boat_fishing,2,2,20180602 10:23,20180602 08:00,0,NA,180,NA,62549,2,1,2,3,5,3,2,5,2,5,2,3,NA,3,5,3,5,4,NA,NA,NA,NA,
45,WC_BoatLaunch_20180602_creel_5,WC,rural,BoatLaunch,20180602,boat_fishing,2,NA,NA,20180602 08:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
46,WC_BoatLaunch_20180602_creel_6,WC,rural,BoatLaunch,20180602,boat_fishing,2,0.083333333,20180602 11:26,20180602 08:18,0,NA,40,NA,53558,4,1,2,4,5,2,2,5,2,4,2,4,NA,1,5,3,4,5,NA,NA,NA,NA,
47,WC_BoatLaunch_20180602_creel_8,WC,rural,BoatLaunch,20180602,boat_fishing,1,0.333333333,20180602 08:55,20180602 03:45,0.333333333,NA,150,NA,53589,5,6,6,5,5,5,5,5,3,3,1,3,NA,2,5,5,5,5,NA,NA,NA,NA,
48,WC_BoatLaunch_20180602_creel_9,WC,rural,BoatLaunch,20180602,boat_fishing,1,NA,20180602 12:56,20180602 10:24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
49,WC_BoatLaunch_20180602_creel_10,WC,rural,BoatLaunch,20180602,boat_fishing,4,NA,NA,20180602 11:02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
50,WC_BoatLaunch_20180602_creel_11,WC,rural,BoatLaunch,20180602,boat_fishing,2,NA,NA,20180602 11:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
51,AR_BoatLaunch_20180609_creel_1,AR,rural,BoatLaunch,20180609,boat_fishing,2,0.1,20180609 11:11,20180609 07:40,0,NA,75,NA,53222,7,10,5,4,3,4,2,5,3,1,3,5,NA,4,2,3,5,3,NA,NA,NA,NA,
52,AR_BoatLaunch_20180609_creel_2,AR,rural,BoatLaunch,20180609,boat_fishing,1,0,20180609 10:43,20180609 08:30,0,NA,65,NA,54494,5,5,2,3,4,3,1,5,1,2,1,3,NA,3,4,3,4,5,NA,NA,NA,NA,
53,HT_BoatLaunch_20180610_creel_2,HT,rural,BoatLaunch,20180610,boat_fishing,2,NA,NA,20180610 13:36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
54,WC_BoatLaunch_20180611_creel_1,WC,rural,BoatLaunch,20180611,boat_fishing,2,0.583333333,20180611 13:53,20180611 11:00,0,NA,25,NA,61032,7,8,5,2,5,3,2,5,1,5,1,3,NA,1,5,2,5,5,NA,NA,NA,NA,
55,WC_BoatLaunch_20180611_creel_2,WC,rural,BoatLaunch,20180611,boat_fishing,2,0.5,20180611 14:45,20180611 11:30,0.25,NA,150,NA,54521,2,1,1,4,5,1,1,3,1,1,1,3,NA,2,5,2,1,1,NA,NA,NA,NA,
56,WC_BoatLaunch_20180611_creel_3,WC,rural,BoatLaunch,20180611,boat_fishing,2,1,20180611 14:56,20180611 13:30,0.25,NA,75,NA,54521,8,3,3,4,2,5,2,5,3,5,4,2,NA,2,4,5,5,5,NA,NA,NA,NA,
57,WC_BoatLaunch_20180611_creel_4,WC,rural,BoatLaunch,20180611,boat_fishing,2,0.116666667,NA,20180611 15:27,0,NA,60,NA,54512,7,5,4,3,3,3,2,4,2,4,2,2,NA,2,4,3,3,4,NA,NA,NA,NA,
58,WC_BoatLaunch_20180611_creel_6,WC,rural,BoatLaunch,20180611,boat_fishing,1,0.25,NA,20180611 16:02,NA,NA,50,NA,54942,1,1,1,5,3,3,5,5,3,5,3,5,NA,1,3,5,5,3,NA,NA,NA,NA,
59,WC_BoatLaunch_20180611_creel_7,WC,rural,BoatLaunch,20180611,boat_fishing,3,0.083333333,20180611 16:18,20180611 13:00,0,NA,35,NA,47175,10,5,5,5,3,3,3,5,1,5,1,3,NA,3,1,1,5,5,NA,NA,NA,NA,
60,WC_BoatLaunch_20180611_creel_8,WC,rural,BoatLaunch,20180611,boat_fishing,3,NA,20180611 16:31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
61,WC_BoatLaunch_20180611_creel_9,WC,rural,BoatLaunch,20180611,boat_fishing,4,NA,NA,20180611 17:19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
62,WC_BoatLaunch_20180611_creel_10,WC,rural,BoatLaunch,20180611,boat_fishing,2,0.15,20180611 21:00,20180611 17:41,0.666666667,NA,150,NA,60706,6,1,2,4,4,5,5,5,3,5,1,4,NA,1,4,4,5,5,NA,NA,NA,NA,
63,WC_BoatLaunch_20180611_creel_11,WC,rural,BoatLaunch,20180611,boat_fishing,2,0.166666667,20180611 20:28,20180611 18:14,0,NA,0,NA,54902,10,10,4,1,3,1,1,5,1,5,1,4,NA,1,5,1,5,5,NA,NA,NA,NA,
64,WC_BoatLaunch_20180611_creel_12,WC,rural,BoatLaunch,20180611,boat_fishing,1,NA,NA,20180611 18:40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
65,WC_BoatLaunch_20180611_creel_13,WC,rural,BoatLaunch,20180611,boat_fishing,2,0.033333333,20180611 20:50,20180611 18:41,0,NA,5,NA,53511,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
66,WC_BoatLaunch_20180611_creel_15,WC,rural,BoatLaunch,20180611,boat_fishing,1,NA,NA,20180611 19:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
67,WC_BoatLaunch_20180611_creel_16,WC,rural,BoatLaunch,20180611,boat_fishing,NA,NA,NA,20180611 19:05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
68,JS_BoatLaunch_20180612_creel_1,JS,rural,BoatLaunch,20180612,shore_fishing,2,0.083333333,20180612 14:40,20180612 13:30,0,NA,100,NA,54568,7,7,8,3,4,4,4,5,1,4,1,5,NA,1,4,3,4,2,NA,NA,NA,NA,
69,JS_BoatLaunch_20180612_creel_3,JS,rural,BoatLaunch,20180612,shore_fishing,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
70,JS_BoatLaunch_20180612_creel_4,JS,rural,BoatLaunch,20180612,boat_fishing,2,0.083333333,20180612 20:22,20180612 18:21,0.5,NA,80,NA,54568,8,6,8,4,2,4,2,5,2,4,2,4,NA,2,1,4,4,4,NA,NA,NA,NA,
71,JS_BoatLaunch_20180612_creel_5,JS,rural,BoatLaunch,20180612,boat_fishing,2,0,20180612 19:09,20180612 12:00,3,NA,200,NA,53511,10,10,7,5,5,5,5,5,3,5,3,4,NA,3,5,3,5,5,NA,NA,NA,NA,
72,LR_BoatLaunch_20180614_creel_1,LR,rural,BoatLaunch,20180614,boat_fishing,2,NA,NA,20180614 09:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
73,LR_BoatLaunch_20180614_creel_2,LR,rural,BoatLaunch,20180614,boat_fishing,1,NA,NA,20180614 12:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
74,LR_BoatLaunch_20180614_creel_3,LR,rural,BoatLaunch,20180614,boat_fishing,2,0.016666667,20180614 12:08,20180614 10:45,0.25,NA,10,NA,60030,8,5,8,1,1,2,1,4,1,1,1,1,NA,1,5,1,2,1,NA,NA,NA,NA,
75,LR_BoatLaunch_20180614_creel_4,LR,rural,BoatLaunch,20180614,boat_fishing,2,0,NA,20180614 08:30,0,NA,5,NA,75098,8,6,6,4,5,4,2,4,2,5,2,2,NA,2,3,4,4,4,NA,NA,NA,NA,
76,LR_BoatLaunch_20180614_creel_5,LR,rural,BoatLaunch,20180614,boat_fishing,2,NA,NA,20180614 13:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
77,LR_BoatLaunch_20180614_creel_6,LR,rural,BoatLaunch,20180614,boat_fishing,2,NA,NA,20180614 13:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
78,OB_BoatLaunch_20180616_creel_1,OB,rural,BoatLaunch,20180616,boat_fishing,2,NA,20180616 10:18,20180616 08:00,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
79,OB_BoatLaunch_20180616_creel_2,OB,rural,BoatLaunch,20180616,boat_fishing,2,2,20180616 10:32,20180616 05:00,1,NA,100,NA,54443,5,1,1,5,5,5,5,5,5,5,5,3,NA,1,5,5,5,5,NA,NA,NA,NA,
80,OB_BoatLaunch_20180616_creel_3,OB,rural,BoatLaunch,20180616,boat_fishing,1,0,20180616 10:43,20180616 09:09,0,NA,60,NA,54557,5,1,1,3,3,5,3,5,3,5,2,3,NA,1,5,5,5,5,NA,NA,NA,NA,
81,FD_BoatLaunch_20180617_creel_1,FD,rural,BoatLaunch,20180617,boat_fishing,2,NA,NA,20180617 11:35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
82,FD_BoatLaunch_20180617_creel_2,FD,rural,BoatLaunch,20180617,boat_fishing,3,0.5,20180617 11:25,20180617 10:25,0,NA,4,NA,54143,10,10,7,3,2,3,1,4,2,2,1,2,NA,1,1,1,3,2,NA,NA,NA,NA,
83,FD_BoatLaunch_20180617_creel_3,FD,rural,BoatLaunch,20180617,boat_fishing,1,NA,NA,20180617 12:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
84,OB_BoatLaunch_20180618_creel_1,OB,rural,BoatLaunch,20180618,boat_fishing,1,NA,20180618 17:06,20180618 15:36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
85,OB_BoatLaunch_20180618_creel_2,OB,rural,BoatLaunch,20180618,boat_fishing,2,3.5,20180618 19:21,20180618 17:30,0,NA,20,NA,54734,5,2,NA,NA,3,4,5,2,2,5,4,5,NA,2,1,5,5,5,NA,NA,NA,NA,
86,OB_BoatLaunch_20180618_creel_3,OB,rural,BoatLaunch,20180618,boat_fishing,1,0.166666667,20180618 19:37,20180618 17:48,0,NA,40,NA,53711,5,2,1,3,5,4,4,4,2,2,4,4,NA,4,2,4,4,4,NA,NA,NA,NA,
87,OB_BoatLaunch_20180618_creel_4,OB,rural,BoatLaunch,20180618,boat_fishing,1,0,20180618 21:00,20180618 17:40,0,NA,200,NA,54557,8,2,1,4,4,4,3,5,1,3,1,4,NA,1,4,3,1,5,NA,NA,NA,NA,
88,FD_BoatLaunch_20180619_creel_1,FD,rural,BoatLaunch,20180619,shore_fishing,2,2.5,20180619 13:51,20180619 13:27,0,NA,100,NA,54481,8,1,1,2,5,4,4,5,2,5,3,4,NA,2,5,2,5,5,NA,NA,NA,NA,
89,FD_BoatLaunch_20180619_creel_5,FD,rural,BoatLaunch,20180619,boat_fishing,2,0.083333333,20180619 17:54,20180619 15:56,0.333333333,NA,30,NA,53221,4,1,1,4,5,5,2,5,2,2,3,5,NA,1,5,3,4,5,NA,NA,NA,NA,
90,FD_BoatLaunch_20180619_creel_6,FD,rural,BoatLaunch,20180619,boat_fishing,3,0.083333333,20180619 16:00,20180619 11:00,0,NA,15,NA,54558,9,9,2,3,5,4,2,5,3,5,1,3,NA,1,3,3,5,1,NA,NA,NA,NA,
91,FD_BoatLaunch_20180619_creel_7,FD,rural,BoatLaunch,20180619,boat_fishing,1,0,20180619 16:07,20180619 14:00,0,NA,25,NA,54558,10,10,10,4,4,4,4,5,2,4,2,4,NA,2,3,4,3,4,NA,NA,NA,NA,
92,FD_BoatLaunch_20180619_creel_8,FD,rural,BoatLaunch,20180619,boat_fishing,2,0.05,20180619 17:45,20180619 16:00,0,NA,40,NA,54481,10,7,3,2,2,3,2,4,2,1,1,3,NA,2,3,2,4,3,NA,NA,NA,NA,
93,FD_BoatLaunch_20180619_creel_9,FD,rural,BoatLaunch,20180619,boat_fishing,2,0.133333333,20180619 20:11,20180619 17:50,0,NA,50,NA,54558,5,5,4,3,4,3,1,5,3,3,1,2,NA,2,5,2,4,4,NA,NA,NA,NA,
94,FD_BoatLaunch_20180619_creel_10,FD,rural,BoatLaunch,20180619,boat_fishing,3,0.166666667,20180619 21:10,20180619 18:19,0,NA,100,NA,54558,10,6,3,2,4,4,3,5,2,2,1,5,NA,1,5,5,1,5,NA,NA,NA,NA,
95,FD_BoatLaunch_20180619_creel_11,FD,rural,BoatLaunch,20180619,boat_fishing,2,NA,NA,20180619 19:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
96,WS_BoatLaunch_20180620_creel_2,WS,rural,BoatLaunch,20180620,boat_fishing,1,NA,NA,20180620 20:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
97,WS_BoatLaunch_20180620_creel_3,WS,rural,BoatLaunch,20180620,boat_fishing,2,0,NA,20180620 19:30,0,NA,36,NA,53209,10,8,4,4,2,5,4,5,2,4,3,2,NA,2,4,3,4,5,NA,NA,NA,NA,
